ticker,cluster
MMM,6
ADBE,9
AFL,1
A,5
APD,4
ALB,3
ALL,9
AEE,6
AEP,3
AMGN,9
ADI,4
ATO,9
ADSK,4
ADP,4
AZO,3
AVY,2
BLL,4
BDX,7
BBY,2
BIO,9
BIIB,5
BA,7
BWA,8
BXP,4
BSX,0
CPB,6
CAH,4
CAT,7
CNC,0
CNP,6
CERN,2
SCHW,7
CMG,7
CINF,8
C,7
CLX,5
CMS,2
KO,5
CL,6
CMCSA,3
ED,7
GLW,8
COST,7
CSX,6
CMI,2
CVS,3
DE,8
DVN,1
DXCM,7
DISH,7
DLTR,8
D,6
DPZ,7
DUK,0
DRE,4
DD,6
EBAY,0
ECL,3
EW,9
EA,9
LLY,1
ETR,6
EOG,0
FAST,8
FMC,3
F,1
FCX,6
GPS,5
GE,7
GIS,4
GM,1
GILD,9
HAL,1
HBI,2
HAS,2
HSIC,4
HES,7
HOLX,0
HD,4
HPQ,7
HUM,6
IDXX,8
ITW,0
INCY,3
INTU,9
ISRG,9
IPGP,8
JPM,7
JNPR,5
KSU,3
KEYS,4
KMI,4
LEG,3
LEN,6
LMT,7
LOW,4
MPC,8
MA,7
MKC,0
MRK,0
MGM,1
MU,4
MSFT,9
MHK,2
MS,7
NWL,9
NKE,9
NSC,3
NOC,7
NRG,5
ORLY,2
OKE,3
ORCL,9
PAYX,8
PEP,7
PKI,7
PFE,6
PSX,6
PXD,0
PPG,3
PPL,0
PGR,8
PRU,1
QRVO,0
QCOM,7
REGN,5
RMD,9
ROK,1
ROL,9
SRE,5
SHW,1
SNA,8
SO,5
LUV,1
STT,7
SYK,8
SYY,9
TMUS,0
TGT,3
TER,4
TSLA,7
TXN,2
TXT,3
HSY,0
DIS,9
TJX,4
TSCO,4
TSN,3
UNP,3
UPS,9
VLO,5
VRSN,7
VRTX,7
WMT,6
WM,3
WAT,4
WFC,5
WDC,9
WHR,6
XEL,6
XLNX,4
ZTS,4
