ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
MMM,59%,"12,349 (12.94%)","7,306 (7.66%)","25,292 (26.51%)","27,490 (28.81%)","22,968 (24.07%)","8,381 (15.44%)","6,445 (11.87%)","14,147 (26.06%)","10,311 (18.99%)","15,003 (27.64%)",73.0,73.1,77.7,74.5,74.2,81.7,89.5,87.0,82.6,77.4,92.9
ABMD,9%,"1,226 (2.51%)","1,776 (3.64%)","11,731 (24.02%)","12,430 (25.45%)","21,670 (44.37%)","2,668 (9.52%)","2,033 (7.26%)","5,193 (18.54%)","3,918 (13.99%)","14,202 (50.7%)",14.3,8.8,9.1,9.7,11.1,1.4,1.2,16.1,1.0,6.4,24.2
ADBE,70%,"20,456 (12.43%)","13,890 (8.44%)","29,648 (18.02%)","37,018 (22.5%)","63,546 (38.62%)","8,168 (9.77%)","6,119 (7.32%)","13,527 (16.17%)","12,159 (14.54%)","43,670 (52.21%)",63.1,62.7,65.0,63.4,64.4,89.0,67.4,73.8,77.1,82.4,79.1
AMD,71%,"5,570 (4.38%)","6,362 (5.01%)","16,568 (13.04%)","23,551 (18.53%)","75,035 (59.04%)","3,258 (5.09%)","2,590 (4.05%)","7,217 (11.27%)","6,436 (10.05%)","44,526 (69.54%)",86.6,84.4,84.2,85.6,87.7,88.8,81.4,93.2,99.5,98.6,81.9
AFL,68%,"3,349 (8%)","7,104 (16%)","14,165 (32%)","12,464 (28%)","6,748 (15%)","7,876 (27%)","5,289 (18%)","8,412 (29%)","3,885 (13%)","3,664 (13%)",88.0,84.0,84.2,91.4,92.9,85.3,93.1,93.7,67.2,82.8,91.4
A,64%,"5,092 (2.83%)","5,258 (2.92%)","19,822 (11%)","34,886 (19.36%)","115,130 (63.9%)","4,856 (5.32%)","3,423 (3.75%)","9,550 (10.45%)","9,657 (10.57%)","63,864 (69.91%)",79.7,77.9,73.8,77.7,80.2,97.2,84.3,68.7,95.6,92.2,73.4
APD,16%,708 (2.14%),"1,432 (4.34%)","7,715 (23.37%)","7,785 (23.58%)","15,373 (46.57%)",560 (3.11%),973 (5.4%),"3,376 (18.74%)","2,799 (15.54%)","10,308 (57.22%)",46.5,48.6,37.8,44.7,46.4,20.4,34.3,6.8,32.0,15.3,8.2
ALB,46%,"2,289 (4%)","4,959 (10%)","9,023 (17%)","11,667 (22%)","24,196 (46%)","5,656 (16%)","4,135 (12%)","7,999 (23%)","5,412 (16%)","11,725 (34%)",43.5,44.3,28.3,37.0,35.8,36.6,15.4,35.4,39.5,10.0,24.1
ALL,34%,"2,678 (4.19%)","2,415 (3.78%)","11,074 (17.32%)","13,774 (21.55%)","33,990 (53.17%)","2,204 (6.59%)","2,407 (7.19%)","5,748 (17.18%)","4,862 (14.53%)","18,242 (54.51%)",81.0,81.8,86.3,81.3,80.7,96.3,76.6,71.7,73.6,85.2,95.9
AMZN,,"4,173 (2.18%)","3,749 (1.96%)","13,648 (7.13%)","36,711 (19.17%)","133,203 (69.56%)","13,810 (10.57%)","6,915 (5.29%)","19,468 (14.89%)","18,480 (14.14%)","72,035 (55.11%)",42.3,45.5,4.6,31.1,24.8,1.4,42.2,13.0,3.4,1.3,24.9
AEE,66%,"4,055 (6%)","9,145 (14%)","16,395 (25%)","16,086 (25%)","19,714 (30%)","13,593 (29%)","6,751 (15%)","11,395 (25%)","6,194 (13%)","8,183 (18%)",88.8,90.5,96.2,90.3,90.6,96.5,79.1,98.9,98.4,95.6,92.2
AEP,39%,"2,489 (2.99%)","7,932 (9.52%)","17,287 (20.74%)","18,106 (21.72%)","37,546 (45.04%)","12,252 (21.17%)","6,778 (11.71%)","12,630 (21.82%)","9,318 (16.1%)","16,909 (29.21%)",37.9,39.6,11.2,37.1,32.1,2.1,15.1,6.5,26.5,3.7,10.9
AMGN,30%,"1,223 (3.05%)","1,137 (2.83%)","5,886 (14.66%)","12,463 (31.04%)","19,442 (48.42%)",998 (5%),745 (3.73%),"2,679 (13.41%)","2,377 (11.9%)","13,175 (65.96%)",63.0,63.1,61.9,62.5,63.3,71.6,65.9,68.0,63.2,80.7,81.6
