ticker,longName,logo_url,close_price,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0,beat1,beat2,beat3
MMM,3M Company,https://logo.clearbit.com/3m.com,181.49,35.0,13.0,14.0,8.0,3.0,59,12.94,7.66,26.51,28.81,24.07,15.44,11.87,26.06,18.99,27.64,73.0,73.1,77.7,74.5,74.2,81.7,89.5,87.0,82.6,77.4,92.9,0,0,1,1
ADBE,Adobe Inc.,https://logo.clearbit.com/adobe.com,654.48,11.0,0.0,6.0,5.0,1.0,70,12.43,8.44,18.02,22.5,38.62,9.77,7.32,16.17,14.54,52.21,63.1,62.7,65.0,63.4,64.4,89.0,67.4,73.8,77.1,82.4,79.1,1,1,0,0
AFL,Aflac Incorporated,https://logo.clearbit.com/aflac.com,53.99,23.0,2.0,8.0,13.0,2.0,68,8,16,32,28,15,27,18,29,13,13,88.0,84.0,84.2,91.4,92.9,85.3,93.1,93.7,67.2,82.8,91.4,0,0,1,0
A,"Agilent Technologies, Inc.",https://logo.clearbit.com/agilent.com,173.94,17.0,1.0,9.0,6.0,2.0,64,2.83,2.92,11,19.36,63.9,5.32,3.75,10.45,10.57,69.91,79.7,77.9,73.8,77.7,80.2,97.2,84.3,68.7,95.6,92.2,73.4,0,1,0,0
APD,"Air Products and Chemicals, Inc.",https://logo.clearbit.com/airproducts.com,261.83,11.0,6.0,1.0,4.0,1.0,16,2.14,4.34,23.37,23.58,46.57,3.11,5.4,18.74,15.54,57.22,46.5,48.6,37.8,44.7,46.4,20.4,34.3,6.8,32.0,15.3,8.2,0,1,0,1
ALB,Albemarle Corporation,https://logo.clearbit.com/albemarle.com,226.85,37.0,19.0,9.0,9.0,1.0,46,4,10,17,22,46,16,12,23,16,34,43.5,44.3,28.3,37.0,35.8,36.6,15.4,35.4,39.5,10.0,24.1,1,1,1,0
ALL,The Allstate Corporation,https://logo.clearbit.com/allstate.com,131.03,21.0,2.0,8.0,11.0,2.0,34,4.19,3.78,17.32,21.55,53.17,6.59,7.19,17.18,14.53,54.51,81.0,81.8,86.3,81.3,80.7,96.3,76.6,71.7,73.6,85.2,95.9,0,1,1,0
AMZN,"Amazon.com, Inc.",https://logo.clearbit.com/amazon.com,3462.52,31.0,7.0,15.0,10.0,3.0,nan,2.18,1.96,7.13,19.17,69.56,10.57,5.29,14.89,14.14,55.11,42.3,45.5,4.6,31.1,24.8,1.4,42.2,13.0,3.4,1.3,24.9,0,1,0,1
AEE,Ameren Corporation,https://logo.clearbit.com/ameren.com,83.6,29.0,16.0,8.0,6.0,2.0,66,6,14,25,25,30,29,15,25,13,18,88.8,90.5,96.2,90.3,90.6,96.5,79.1,98.9,98.4,95.6,92.2,0,1,0,1
AEP,"American Electric Power Company, Inc.",https://logo.clearbit.com/aep.com,84.1,35.0,20.0,10.0,5.0,2.0,39,2.99,9.52,20.74,21.72,45.04,21.17,11.71,21.82,16.1,29.21,37.9,39.6,11.2,37.1,32.1,2.1,15.1,6.5,26.5,3.7,10.9,0,0,0,1
AMGN,Amgen Inc.,https://logo.clearbit.com/amgen.com,219.38,19.0,0.0,13.0,6.0,2.0,30,3.05,2.83,14.66,31.04,48.42,5,3.73,13.41,11.9,65.96,63.0,63.1,61.9,62.5,63.3,71.6,65.9,68.0,63.2,80.7,81.6,0,0,1,1
ADI,"Analog Devices, Inc.",https://logo.clearbit.com/analog.com,171.52,24.0,9.0,8.0,7.0,0.0,13,1.94,1.85,21.96,22.14,52.12,3.84,5.25,11.07,11.63,68.2,24.3,18.7,13.6,17.2,19.0,1.9,4.9,5.4,0.2,0.8,28.1,0,1,0,1
ATO,Atmos Energy Corporation,https://logo.clearbit.com/atmosenergy.com,89.09,32.0,13.0,12.0,7.0,2.0,44,5.17,4.69,12.97,22.55,54.61,5.97,6.9,21.22,18.42,47.49,70.9,70.9,74.9,71.1,71.2,93.9,62.8,73.4,71.9,70.1,73.4,0,1,0,1
ADSK,"Autodesk, Inc.",https://logo.clearbit.com/autodesk.com,288.15,15.0,1.0,9.0,5.0,0.0,26,4.56,2.11,10.77,23.25,59.31,7.44,5.04,12.73,13.08,61.7,13.4,30.2,36.0,27.8,26.8,8.6,39.8,33.6,22.7,4.7,27.6,0,0,0,1
ADP,"Automatic Data Processing, Inc.",https://logo.clearbit.com/adp.com,198.67,14.0,1.0,7.0,5.0,1.0,24,2.36,2.18,17.6,16.21,61.64,4.05,4.18,9.49,9.07,73.2,18.4,21.1,12.3,18.3,19.2,9.4,2.9,13.1,6.8,6.6,7.0,0,0,1,1
AZO,"AutoZone, Inc.",https://logo.clearbit.com/autozone.com,1592.88,11.0,0.0,7.0,4.0,2.0,76,5.17,11.93,28.83,22.26,31.84,29.35,13.23,22.7,13.19,21.53,36.1,37.6,14.9,31.0,27.7,16.5,10.8,22.7,19.4,19.3,19.2,1,0,1,0
AVY,Avery Dennison Corporation,https://logo.clearbit.com/averydennison.com,214.68,18.0,12.0,2.0,4.0,1.0,45,9.37,5.44,20.36,26.52,38.31,12.49,11.89,18.59,15.87,41.17,64.3,64.4,65.7,64.3,64.6,93.4,72.5,72.6,79.7,80.2,95.2,0,1,1,0
BLL,Ball Corporation,https://logo.clearbit.com/ball.com,92.36,14.0,9.0,1.0,4.0,1.0,22,1.61,2.45,16.27,28.62,51.06,4.92,4.63,15.88,18.63,55.94,34.9,26.4,27.9,35.3,37.2,3.5,48.5,35.6,21.3,18.6,29.4,1,0,0,1
BDX,"Becton, Dickinson and Company",https://logo.clearbit.com/bd.com,261.95,29.0,4.0,16.0,9.0,3.0,12,1.33,1.95,17.85,19.18,59.7,2.17,4.15,8.57,9.37,75.74,32.3,32.4,24.3,31.5,32.5,4.1,19.9,40.6,20.8,15.4,20.6,1,0,0,1
BBY,"Best Buy Co., Inc.",https://logo.clearbit.com/investors.bestbuy.com,109.62,14.0,2.0,7.0,5.0,2.0,34,4.94,5.46,20.57,30.82,38.23,7.8,6.96,23.25,18.67,43.33,84.7,85.5,87.7,84.5,84.8,98.2,87.1,82.2,89.2,87.5,73.4,0,0,1,1
BIO,"Bio-Rad Laboratories, Inc.",https://logo.clearbit.com/bio-rad.com,788.35,21.0,1.0,12.0,7.0,2.0,72,5.37,5.13,19.44,35.96,34.1,5.2,4.86,14.86,15.09,59.99,91.4,83.0,86.3,87.0,88.2,91.1,65.3,90.3,84.3,91.3,73.4,0,1,0,0
BIIB,Biogen Inc.,https://logo.clearbit.com/biogen.com,300.19,21.0,0.0,13.0,8.0,2.0,39,5.95,4.33,12.64,11.65,65.43,15.12,6.76,13.59,12.8,51.73,63.8,64.5,73.8,65.3,68.0,73.8,81.0,87.5,68.3,95.2,85.4,0,1,0,1
BA,The Boeing Company,https://logo.clearbit.com/boeing.com,213.24,36.0,8.0,20.0,8.0,4.0,44,3.84,3.15,8.59,13.57,70.86,11.53,5.64,11.27,12.9,58.66,29.5,30.8,0.6,18.2,10.7,0.0,18.5,2.2,34.9,0.5,0.3,0,0,1,1
BWA,BorgWarner Inc.,https://logo.clearbit.com/borgwarner.com,42.92,13.0,3.0,4.0,7.0,2.0,36,2,6,21,28,43,13,9,21,17,40,54.7,54.9,48.9,55.3,55.4,21.2,35.6,53.1,47.8,36.8,31.3,0,0,1,1
BXP,"Boston Properties, Inc.",https://logo.clearbit.com/bostonproperties.com,109.99,14.0,4.0,5.0,5.0,1.0,45,6.19,4.78,14.08,12.97,61.99,17.64,7.41,13.78,12.09,49.09,40.3,38.6,9.7,30.3,27.1,0.0,41.5,5.9,31.8,0.4,16.4,0,1,0,1
BSX,Boston Scientific Corporation,https://logo.clearbit.com/bostonscientific.com,44.37,29.0,3.0,15.0,10.0,2.0,21,4.65,3.43,27.74,23.82,40.36,5,6.8,17.8,16.54,53.86,21.5,15.2,10.5,14.1,16.7,8.6,0.4,7.8,12.8,3.1,23.8,0,1,1,0
CPB,Campbell Soup Company,https://logo.clearbit.com/campbellsoupcompany.com,43.19,22.0,10.0,8.0,5.0,2.0,57,7.96,9.64,26.24,18.99,37.18,16.01,10.11,20.74,15.5,37.63,87.6,87.5,92.2,86.6,87.4,96.3,97.4,94.6,99.4,94.4,89.8,0,0,1,1
CAH,"Cardinal Health, Inc.",https://logo.clearbit.com/cardinalhealth.com,52.57,12.0,2.0,5.0,4.0,3.0,24,1,2,13,24,60,6,6,18,20,51,18.1,20.2,13.2,23.1,22.7,3.9,62.8,34.1,28.8,10.8,9.4,0,0,1,1
CAT,Caterpillar Inc.,https://logo.clearbit.com/caterpillar.com,199.75,34.0,7.0,18.0,9.0,4.0,12,1.02,1.27,9.4,16.19,72.12,4.15,3.58,11.3,10.11,70.85,5.1,4.6,1.8,4.2,5.7,2.6,9.4,13.3,17.0,3.8,1.9,0,0,1,1
CNC,Centene Corporation,https://logo.clearbit.com/centene.com,64.64,22.0,0.0,16.0,7.0,2.0,40,1.29,4.19,13.47,21.9,59.14,11.54,8.69,20.74,15.68,43.34,28.1,28.3,7.2,23.9,22.4,7.0,11.4,8.4,24.6,5.7,14.5,0,1,0,1
CNP,"CenterPoint Energy, Inc.",https://logo.clearbit.com/centerpointenergy.com,24.43,35.0,18.0,12.0,6.0,2.0,66,14,12,19,19,37,20,12,22,14,32,77.3,73.8,88.1,78.7,78.8,90.5,79.9,90.2,94.9,85.2,96.7,0,1,0,1
CERN,Cerner Corporation,https://logo.clearbit.com/cerner.com,75.04,20.0,0.0,13.0,7.0,2.0,28,6.16,8.33,37.95,30.14,17.45,11.72,11.66,29.16,21.09,26.36,60.1,60.2,62.0,59.9,59.9,60.7,66.2,62.5,69.8,67.2,84.2,0,1,0,1
SCHW,The Charles Schwab Corporation,https://logo.clearbit.com/schwab.com,70.43,24.0,2.0,10.0,12.0,2.0,17,1.48,2.47,14.71,25.87,55.49,3.54,2.69,8.75,11.67,73.35,36.4,36.6,26.5,34.6,33.4,9.2,37.8,7.6,41.3,23.4,20.6,0,1,1,0
CMG,"Chipotle Mexican Grill, Inc.",https://logo.clearbit.com/chipotle.com,1909.02,24.0,5.0,14.0,5.0,3.0,32,1,2,9,24,64,10,6,14,15,55,6.1,9.7,10.1,10.0,8.8,1.1,62.8,7.6,13.7,3.5,1.1,0,0,1,0
CINF,Cincinnati Financial Corporation,https://logo.clearbit.com/cinfin.com,116.45,24.0,2.0,9.0,14.0,1.0,44,3.23,6.02,32.01,30.58,28.15,7.77,9.32,24.23,23.17,35.52,30.1,32.2,21.8,32.7,32.3,38.5,62.8,1.8,22.2,6.4,5.8,0,1,1,0
