Ticker,Total,Environmental,Social,Governance,Controversy
MMM,35,13,14,8,3
AOS,25,7,12,6,2
ABT,26,3,14,9,3
ABBV,27,1,17,10,3
ABMD,,,,,
ACN,11,1,5,5,2
ATVI,16,0,10,6,2
ADM,34,16,14,5,3
ADBE,11,0,6,5,1
AAP,13,0,9,3,2
AMD,,,,,
AES,35,21,8,6,2
AFL,23,2,8,13,2
A,17,1,9,6,2
APD,11,6,1,4,1
AKAM,20,2,10,8,1
ALK,,,,,
ALB,37,19,9,9,1
ARE,15,3,6,6,0
ALGN,,,,,
ALLE,23,12,4,7,0
LNT,22,10,6,7,1
ALL,21,2,8,11,2
GOOGL,23,0,11,12,4
GOOG,,,,,
MO,24,5,13,7,2
AMZN,31,7,15,10,3
AMCR,,,,,
AEE,29,16,8,6,2
AAL,30,12,13,5,2
AEP,35,20,10,5,2
AXP,20,0,11,9,2
AIG,27,2,11,15,2
AMT,12,4,4,5,0
AWK,28,13,9,5,2
AMP,23,3,8,12,2
ABC,13,1,6,6,3
AME,26,8,10,8,1
AMGN,19,0,13,6,2
APH,22,8,6,8,2
ADI,24,9,8,7,0
ANSS,15,1,9,5,0
ANTM,12,0,6,6,2
AON,,,,,
APA,39,22,9,8,2
AAPL,17,0,8,9,3
AMAT,12,4,3,5,0
APTV,13,4,5,5,1
ANET,18,0,9,8,2
AJG,22,0,9,12,2
AIZ,24,2,10,13,3
T,19,2,11,6,3
ATO,32,13,12,7,2
ADSK,15,1,9,5,0
ADP,14,1,7,5,1
AZO,11,0,7,4,2
AVB,10,3,3,4,0
AVY,18,12,2,4,1
BKR,,,,,
BLL,14,9,1,4,1
BAC,27,2,14,11,3
BBWI,16,2,8,6,2
BAX,27,3,16,9,2
BDX,29,4,16,9,3
BRK.B,,,,,
BBY,14,2,7,5,2
BIO,21,1,12,7,2
TECH,,,,,
BIIB,21,0,13,8,2
BLK,21,1,10,10,2
BK,23,2,10,11,3
BA,36,8,20,8,4
BKNG,20,4,10,6,2
BWA,13,3,4,7,2
BXP,14,4,5,5,1
