Zip,Long Name
55144-1000,3M Company
53224-9508,A.O. Smith Corporation
60064-6400,Abbott Laboratories
60064-6400,AbbVie Inc.
01923,"ABIOMED, Inc."
2,Accenture plc
90405,"Activision Blizzard, Inc"
60601,Archer-Daniels-Midland Company
95110-2704,Adobe Inc.
27604,Advance Auto Parts Inc Advance 
95054,"Advanced Micro Devices, Inc."
22203,The AES Corporation
31999,AFLAC Incorporated
95051,"Agilent Technologies, Inc."
18195-1501,"Air Products and Chemicals, Inc"
02142,"Akamai Technologies, Inc."
98188,"Alaska Air Group, Inc."
28209,Albemarle Corporation
91101,Alexandria Real Estate Equities
85281,"Align Technology, Inc."
D02 VH94,Allegion plc
53718,Alliant Energy Corporation
60062-6127,Allstate Corporation (The)
94043,Alphabet Inc.
94043,Alphabet Inc.
23230,"Altria Group, Inc."
98109-5210,"Amazon.com, Inc."
8050,Amcor plc
63103,Ameren Corporation
76155,"American Airlines Group, Inc."
43215-2373,American Electric Power Company
10285,American Express Company
10020,"American International Group, I"
02116,American Tower Corporation (REI
08102-1658,"American Water Works Company, I"
55474,"Ameriprise Financial, Inc."
19428-1800,AmerisourceBergen Corporation
19312-1177,"AMETEK, Inc."
91320-1799,Amgen Inc.
06492,Amphenol Corporation
01887,"Analog Devices, Inc."
15317,"ANSYS, Inc."
46204,"Anthem, Inc."
D01 K0Y8,Aon plc
77056-4000,APA Corporation
95014,Apple Inc.
95052-3299,"Applied Materials, Inc."
2,Aptiv PLC
95054,"Arista Networks, Inc."
